code
ACES
ADRO
AKRA
ANTM
ASII
BBCA
BBNI
BBRI
BBTN
BMRI
BRPT
BSDE
CPIN
ERAA
EXCL
GGRM
HMSP
ICBP
INCO
INDF
INKP
INTP
ITMG
JPFA
JSMR
KLBF
MDKA
MEDC
MIKA
MNCN
PGAS
PTBA
PTPP
PWON
SMGR
SMRA
TBIG
TINS
TKIM
TLKM
TPIA
TOWR
UNTR
UNVR
WIKA
